rarity,unique_name,base_type,class
Unique,生机之记,朽木法杖,Unique Item
Unique,艾贝拉斯之角,羊角法杖,Unique Item
Unique,灰烬行者,羊角法杖,Unique Item
Unique,混响,螺纹法杖,Unique Item
Unique,禁锢暴风,螺纹法杖,Unique Item
Unique,峡湾之星,贤者法杖,Unique Item
Unique,日耀之影,贤者法杖,Unique Item
Unique,峡湾之星【仿品】,贤者法杖,Unique Item
Unique,协约的遗物,贤者法杖,Unique Item
Unique,暗光遗存,贤者法杖,Unique Item
Unique,神秘折射镜,异教法杖,Unique Item
Unique,宇蚀,兽角法杖,Unique Item
Unique,艾普之怒,灵兆法杖,Unique Item
Unique,抹灭,灵兆法杖,Unique Item
Unique,托沃卧,灵石法杖,Unique Item
Unique,托沃崩,灵石法杖,Unique Item
Unique,托沃卧【仿品】,灵石法杖,Unique Item
Unique,低伏暗光,狂风法杖,Unique Item
Unique,潜能魔棒,箴言法杖,Unique Item
Unique,女神的恩典,箴言法杖,Unique Item
Unique,诗人之笔,肉体法杖,Unique Item
Unique,泣月,念动法杖,Unique Item
Unique,皮斯卡托的慧眼,念动法杖,Unique Item
Unique,冥约,召唤法杖,Unique Item
Unique,冥约【仿品】,召唤法杖,Unique Item
Unique,血凿,剥皮刀,Unique Item
Unique,血谑,锐利刺匕,Unique Item
Unique,血谑【仿品】,锐利刺匕,Unique Item
Unique,恩吉尔的叉刃,窃者短刃,Unique Item
Unique,恩吉尔的叉刃【仿品】,窃者短刃,Unique Item
Unique,力量猎刃,残体利刃,Unique Item
Unique,寡妇,窃者短匕,Unique Item
Unique,裂心刃,皇家短匕,Unique Item
Unique,裂心刃【仿品】,皇家短匕,Unique Item
Unique,蚕食之暗,兽血短匕,Unique Item
Unique,阿拉卡力之牙,兽血短匕,Unique Item
Unique,比诺的厨刀,猎者之刃,Unique Item
Unique,砥砺深根,伏击刺刃,Unique Item
Unique,隐匿之刃,伏击刺刃,Unique Item
Unique,地精边缘,伏击刺刃,Unique Item
Unique,寒铁刃,艾兹麦之匕,Unique Item
Unique,寒铁刃【仿品】,艾兹麦之匕,Unique Item
Unique,迷茫幻符,白金波刃,Unique Item
Unique,戒律之影,帝国短匕,Unique Item
Unique,白净之风,帝国短匕,Unique Item
Unique,火神锻台,魔灵短匕,Unique Item
Unique,积怨溃脓,魔灵短匕,Unique Item
Unique,终息,拳钉,Unique Item
Unique,终息【仿品】,拳钉,Unique Item
Unique,野性狂爪,凿钉,Unique Item
Unique,鬣犬之牙,远古战爪,Unique Item
Unique,噬魂之牙,恐惧之爪,Unique Item
Unique,希比尔的冰爪,撕裂尖爪,Unique Item
Unique,东之饰,裂脏钩,Unique Item
Unique,超越壁垒,裂脏钩,Unique Item
Unique,超越壁垒【仿品】,裂脏钩,Unique Item
Unique,蜂巢涌动,刺喉刃,Unique Item
Unique,嗜血之爪,魔爪刃,Unique Item
Unique,荒野之律,魔爪刃,Unique Item
Unique,精华收割器,瓦尔战爪,Unique Item
Unique,魅惑,瓦尔战爪,Unique Item
Unique,魅惑【仿品】,瓦尔战爪,Unique Item
Unique,痛苦之触,帝国战爪,Unique Item
Unique,思动之手,帝国战爪,Unique Item
Unique,智行之手,帝国战爪,Unique Item
Unique,裂隙,恐惧之牙,Unique Item
Unique,灾害,恐惧之牙,Unique Item
Unique,鹰啸,碎玉斧,Unique Item
Unique,恐惧之镰,切割者,Unique Item
Unique,无尽愤怒,富贵之斧,Unique Item
Unique,灰风,幽魂之斧,Unique Item
Unique,月岚,征战之斧,Unique Item
Unique,开膛斧,破城斧,Unique Item
Unique,阿克顿,屠戮之斧,Unique Item
Unique,刽子手.杰克,瓦尔战斧,Unique Item
Unique,野性瑞佛,皇家之斧,Unique Item
Unique,龙凤吟,狱火之刃,Unique Item
Unique,鬼弑,查兰之剑,Unique Item
Unique,赤红短刃,锈剑,Unique Item
Unique,女爵,旧军刀,Unique Item
Unique,暴风之钢,征战之剑,Unique Item
Unique,暴风之钢【仿品】,征战之剑,Unique Item
Unique,女神的怒炎,贵族之剑,Unique Item
Unique,拉奇许之刃,贵族之剑,Unique Item
Unique,影殒,暮色之刃,Unique Item
Unique,离异梦寐,军用长刃,Unique Item
Unique,合流梦寐,军用长刃,Unique Item
Unique,英斯贝理之极,智者长剑,Unique Item
Unique,英斯贝理之极【仿品】,智者长剑,Unique Item
Unique,掳名之锋,权贵之剑,Unique Item
Unique,虹耀之月,暮光长剑,Unique Item
Unique,瓦尔传说,宝石之剑,Unique Item
Unique,瓦尔命运,宝石之剑,Unique Item
Unique,一文字,海贼长刀,Unique Item
Unique,食蚜,斗士长剑,Unique Item
Unique,钢铁质量,斗士长剑,Unique Item
