
Challenge League	Release Date	End Date	Total Weeks	Release Version
Allflame league	2026-07-24 7:00:00 PM			3.29.0
Mirage league	2026-03-06 7:00:00 PM	2026-07-20 10:00:00 PM	19.4286	3.28.0
Keepers league	2025-10-31 7:00:00 PM	2026-03-02 9:00:00 PM	17.4286	3.27.0
Mercenaries league	2025-06-13 8:00:00 PM	2025-10-27 9:00:00 PM	19.4286	3.26.0
Settlers league	2024-07-26 8:00:00 PM	2025-06-09 10:00:00 PM	45.4286	3.25.0
Necropolis league	2024-03-29 8:00:00 PM	2024-07-23 10:00:00 PM	16.5714	3.24.0
Affliction league	2023-12-08 7:00:00 PM	2024-03-26 9:00:00 PM	15.5714	3.23.0
Ancestor league	2023-08-18 8:00:00 PM	2023-12-05 9:00:00 PM	15.5714	3.22.0
Crucible league	2023-04-07 8:00:00 PM	2023-08-15 10:00:00 PM	18.5714	3.21.0
Sanctum league	2022-12-09 7:00:00 PM	2023-04-04 9:00:00 PM	16.5714	3.20.0
Kalandra league	2022-08-19 8:00:00 PM	2022-12-06 8:00:00 PM	15.5714	3.19.0
Sentinel league	2022-05-13 8:00:00 PM	2022-08-16 10:00:00 PM	13.5714	3.18.0
Archnemesis league	2022-02-04 8:00:00 PM	2022-05-10 10:00:00 PM	13.5714	3.17.0
Scourge league	2021-10-22 7:00:00 PM	2022-02-01 9:00:00 PM	14.5714	3.16.0
Expedition league	2021-07-23 8:00:00 PM	2021-10-18 9:00:00 PM	12.4286	3.15.0
Ultimatum league	2021-04-16 8:00:00 PM	2021-07-19 10:00:00 PM	13.4286	3.14.0
Ritual league	2021-01-15 8:00:00 PM	2021-04-12 9:00:00 PM	12.4286	3.13.0
Heist league	2020-09-18 8:00:00 PM	2021-01-11 9:00:00 PM	16.4286	3.12.0
Harvest league	2020-06-19 8:00:00 PM	2020-09-14 10:00:00 PM	12.4286	3.11.0
Delirium league	2020-03-13	2020-06-15	13.4286	3.10.0
Metamorph league	2019-12-13 8:00:00 PM	2020-03-09 9:00:00 PM	12.4286	3.9.0
Blight league	2019-09-06	2019-12-09 9:00:00 PM	13.4286	3.8.0
Legion league	2019-06-07	2019-09-03	12.5714	3.7.0
Synthesis league	2019-03-08	2019-06-03 10:00:00 PM	12.4286	3.6.0
Betrayal league	2018-12-07	2019-03-04 9:00:00 PM	12.4286	3.5.0
Delve league	2018-08-31	2018-12-03 9:00:00 PM	13.4286	3.4.0
Incursion league	2018-06-01	2018-08-27 10:00:00 PM	12.4286	3.3.0
Bestiary league	2018-03-02 8:00:00 PM	2018-05-28 10:00:00 PM	12.4286	3.2.0
Abyss league	2017-12-08 8:00:00 PM	2018-02-26 9:00:00 PM	11.4286	3.1.0
Harbinger league	2017-08-04 8:00:00 PM	2017-12-04 9:00:00 PM	17.4286	3.0.0
Legacy league	2017-03-03	2017-07-31 10:00:00 PM	21.4286	2.6.0
Breach league	2016-12-02 8:00:00 PM	2017-02-27 9:00:00 PM	12.4286	2.5.0
Essence league	2016-09-02	2016-11-28	12.4286	2.4.0
Prophecy league	2016-06-03	2016-08-29	12.4286	2.3.0
Perandus league	2016-03-04	2016-05-30	12.4286	2.2.0
Talisman league	2015-12-11	2016-03-04	12.0000	2.1.0
Warbands league	2015-07-10	2015-10-02	12.0000	2.0.0
Tempest league	2015-07-10	2015-10-02	12.0000	2.0.0
Torment league	2014-12-13	2015-03-24	14.4286	1.3.0
Bloodlines league	2014-12-13	2015-03-24	14.4286	1.3.0
Rampage league	2014-08-20	2014-11-20	13.1429	1.2.0
Beyond league	2014-08-20	2014-11-20	13.1429	1.2.0
Ambush league	2014-03-05	2014-07-05	17.4286	1.1.0
Invasion league	2014-03-05	2014-07-05	17.4286	1.1.0
Nemesis league	2013-10-23	2014-02-23	17.5714	1.0.0
Domination league	2013-10-23	2014-02-23	17.5714	1.0.0
Anarchy league	2013-06-07	2013-10-07	17.4286	0.11.0
Onslaught league	2013-06-07	2013-10-07	17.4286	0.11.0
